BataryaGucu,Bluetooth,MikroislemciHizi,CiftHat,OnKameraMP,4G,DahiliBellek,Kalinlik,Agirlik,CekirdekSayisi,ArkaKameraMP,CozunurlukYukseklik,CozunurlukGenislik,RAM,BataryaOmru,3G,Dokunmatik,WiFi,FiyatAraligi,Renk
869,1,1.9,1,0,1,2,0.6,197,7,3,519,533,3249,12,1,1,0,1,1
1128,0,0.5,0,6,1,33,0.6,147,8,7,938,1226,1440,19,0,1,1,3,3
832,1,0.7,0,2,0,39,0.7,103,4,3,125,1504,1799,11,0,1,0,3,6
712,1,0.5,1,6,1,27,0.5,86,2,11,1245,1309,2001,12,0,0,0,3,8
740,1,1.8,1,1,1,12,0.2,123,1,11,935,1147,1105,19,1,0,0,0,5
1926,0,1.1,1,13,0,50,0.2,179,6,17,371,1000,3809,17,0,0,1,2,8
1741,0,1.8,1,0,1,14,0.7,143,8,0,730,1895,3387,3,0,1,1,2,8
603,1,1.5,1,8,1,12,0.7,114,6,20,1003,1284,1543,19,0,0,1,3,2
1778,1,0.5,1,0,0,23,0.5,101,6,11,1028,1445,3941,13,0,1,1,2,7
616,1,1.9,0,13,0,44,0.8,81,3,17,651,1618,3366,13,0,0,1,2,5
1887,0,3,0,6,0,17,0.2,126,8,7,1172,1798,3348,16,0,0,1,2,5
1487,1,0.5,1,6,0,57,0.7,84,3,12,140,768,2563,14,0,1,1,1,5
1479,0,1.8,0,0,0,24,0.1,146,6,0,327,645,,5,0,1,1,2,3
1996,0,2.8,0,0,0,7,0.1,138,5,4,937,1083,1258,16,0,1,1,3,4
1607,1,1.1,0,6,0,20,1,192,2,8,776,1005,885,14,0,0,1,0,2
1081,0,2.5,0,13,1,49,1,99,3,17,284,519,325,6,1,1,0,0,11
1325,0,0.5,1,0,0,13,1,133,4,8,1353,1915,3707,18,0,0,1,2,6
1628,1,0.5,1,5,0,33,0.9,101,6,8,412,643,3361,13,0,1,1,2,1
768,0,0.9,1,16,0,56,0.1,113,1,20,418,515,952,16,0,1,0,0,0
1308,1,1.9,1,0,0,61,0.7,106,3,7,59,1215,3355,4,0,1,0,2,9
1510,0,2.5,0,11,1,47,0.7,138,2,13,118,1170,887,5,1,1,1,0,7
1692,0,2.1,1,3,0,61,0.9,176,6,12,975,1996,1354,19,0,1,1,3,2
1673,0,1.6,1,2,1,42,0.5,182,5,6,214,679,3094,20,1,1,1,1,1
1656,0,0.5,0,8,0,38,0.1,105,7,17,506,519,1499,19,0,1,0,3,7
1310,1,1.4,1,0,1,33,0.4,105,1,14,806,1016,1301,19,1,1,0,3,2
1144,0,1.5,0,0,1,21,0.4,189,1,11,159,724,3252,8,1,1,1,1,9
1077,0,1.7,0,1,1,58,0.8,86,7,13,135,1892,3902,3,0,1,1,2,7
1963,0,1,1,16,0,34,0.1,157,2,17,1136,1813,714,2,0,1,0,3,10
503,0,1.8,0,1,0,13,0.7,131,1,4,1495,1688,3117,9,0,1,0,2,8
1127,0,2.9,0,5,0,57,0.8,163,1,13,928,1049,2048,17,0,0,0,3,6
1602,1,2.7,1,4,0,46,0.6,118,1,5,273,1062,1862,2,0,1,0,3,3
1035,1,0.6,0,2,0,44,0.5,99,3,3,236,1960,,12,0,0,1,2,0
696,1,0.5,1,6,1,51,0.3,197,3,8,649,907,2630,9,1,1,0,3,9
1922,1,0.5,1,15,0,42,0.6,153,8,16,725,1882,3564,17,0,1,1,2,8
1993,0,0.5,1,10,0,27,0.3,147,8,11,150,510,2437,9,0,1,1,1,8
922,0,0.7,1,0,0,47,1,157,8,14,1295,1808,1464,12,0,1,0,3,0
1426,0,0.8,1,2,0,42,0.6,84,3,10,715,1163,1356,16,0,1,0,3,2
1694,1,1.8,1,0,1,53,1,186,6,0,1194,1208,1653,6,0,1,1,1,8
1949,0,0.5,0,2,0,31,0.1,145,5,9,837,1182,832,19,0,1,1,3,11
1042,1,2.7,0,16,0,50,0.8,93,7,18,727,1705,3215,20,0,0,0,2,9
745,0,0.6,0,5,1,35,0.8,102,8,10,89,1538,2459,16,0,0,1,3,8
1825,1,1.1,0,13,0,17,0.1,157,4,18,1621,1773,3130,2,0,1,0,2,0
1142,0,1.2,1,0,1,2,0.6,114,6,0,623,769,1747,14,1,0,1,3,0
835,1,1.1,0,2,1,7,0.2,101,4,7,323,1604,1181,15,0,0,0,0,10
947,0,0.5,1,1,0,51,0.1,144,2,15,193,887,2915,6,0,0,0,1,0
510,1,2.6,1,0,1,33,0.1,110,6,10,1052,1897,1693,5,1,0,1,3,9
999,1,1.7,1,6,1,49,0.6,132,1,17,608,1970,1598,8,1,0,1,3,9
1498,0,0.7,1,3,0,8,0.1,170,7,4,347,1076,3358,19,0,1,1,2,11
787,0,0.5,1,15,1,11,0.6,93,1,16,806,1423,2934,14,0,1,0,1,4
987,0,2.3,1,9,1,17,0.8,124,7,17,887,1274,3885,14,0,0,1,2,4
903,1,1,0,0,0,50,0.4,91,1,0,1230,1235,711,10,0,0,1,0,9
1278,0,1,1,7,0,24,0.8,170,3,16,1352,1775,3141,11,0,0,0,2,2
1083,0,2,1,3,1,41,0.7,158,5,5,937,1164,1543,10,1,1,0,3,10
726,1,2.2,1,,0,40,0.8,94,4,20,323,978,1342,4,0,0,0,0,0
914,0,0.5,1,0,0,26,0.7,147,4,0,706,721,1122,2,0,0,0,0,7
1174,0,0.9,1,7,1,30,1,147,4,20,744,1244,804,16,1,0,0,0,11
1562,0,1.3,0,1,0,7,0.2,190,5,15,642,1533,2243,6,0,1,1,1,7
803,0,2.1,1,7,1,17,1,198,4,11,344,1440,2680,4,0,1,0,1,1
1193,0,2.3,1,7,1,20,1,158,7,13,1442,1904,1958,2,0,1,1,1,5
1658,0,1.4,1,0,0,39,0.7,182,1,5,410,522,3483,15,0,1,0,2,5
1059,1,0.5,0,0,1,50,0.7,182,8,1,519,1545,619,18,1,0,0,0,9
867,0,1.5,1,0,0,57,0.1,159,4,0,289,724,2157,18,0,1,1,3,5
1939,0,2.8,0,0,0,55,0.6,199,4,10,320,520,1047,18,0,0,1,0,6
1577,1,1,0,0,0,64,0.1,105,3,7,116,1432,2967,7,0,0,0,2,1
1698,1,2.1,1,5,0,18,0.9,160,6,20,363,994,796,14,0,1,0,0,10
1470,0,1.7,0,6,1,45,0.1,121,1,9,777,1090,3259,14,0,1,0,2,4
827,1,1.1,0,2,0,18,0.9,160,2,16,448,821,1663,17,0,0,0,0,9
1263,0,2,1,0,1,5,0.4,146,6,3,954,1609,1958,4,0,0,0,1,10
1015,0,0.8,1,5,1,12,0.5,102,3,14,335,679,2293,2,1,0,1,3,9
1871,1,2.1,1,4,0,41,0.4,144,8,5,275,1966,2727,11,0,1,1,2,4
1567,1,0.5,0,3,1,22,0.5,119,6,6,545,1621,2312,18,0,1,1,1,5
1770,0,2.3,1,0,1,9,0.6,183,6,5,1098,1373,3785,14,0,1,0,2,9
1957,1,0.9,0,11,1,31,0.6,181,3,16,396,1732,3801,7,0,1,0,2,10
928,0,0.5,0,11,1,56,0.7,80,8,13,221,1243,666,5,1,0,1,0,9
592,1,0.8,0,1,1,52,0.9,103,7,10,332,970,1507,4,1,1,0,0,11
1899,0,0.6,1,0,1,26,0.1,151,2,0,96,814,336,4,0,1,0,0,5
1783,1,2.9,0,2,1,42,0.7,104,6,8,1081,1979,387,3,1,0,1,3,1
580,0,2.1,0,0,1,24,0.4,135,4,5,404,898,3565,8,0,1,0,1,1
1184,1,1.5,0,1,0,48,0.6,191,1,6,519,1577,3315,14,0,0,0,2,8
618,1,0.6,1,8,1,16,0.2,143,1,14,1105,1602,2262,4,1,0,1,1,10
718,1,2.8,1,10,1,59,0.8,113,6,13,1185,1387,1824,3,0,0,1,3,10
719,0,0.5,0,0,0,23,0.4,113,6,9,431,1727,3990,12,0,0,0,2,5
1503,0,0.7,1,10,0,43,0.2,166,4,14,841,1304,2122,2,0,1,1,1,3
911,1,1.4,0,3,1,14,0.7,199,4,4,1563,1692,2933,11,1,0,1,2,10
1394,0,0.9,0,10,0,62,0.3,175,5,13,1010,1565,473,20,0,0,1,0,2
1512,1,0.6,0,1,0,54,0.4,134,3,2,220,1838,3366,11,0,1,0,2,3
1210,1,0.5,1,0,1,63,0.1,93,5,0,1177,1462,2394,7,1,1,1,1,9
840,1,0.9,0,6,1,33,0.7,150,6,7,1482,1591,2072,19,1,0,1,1,9
1039,1,0.5,0,8,1,47,0.2,130,8,9,384,1878,1742,15,0,1,1,3,2
1562,0,1.2,0,0,0,52,0.1,105,7,9,480,728,2829,3,0,0,0,1,3
1995,0,0.5,1,6,1,26,0.2,129,1,15,649,1104,1322,7,1,0,0,3,4
578,0,0.5,1,9,0,62,0.3,170,5,13,626,1134,2977,5,0,0,0,1,0
827,0,0.6,0,9,0,35,0.2,87,6,17,23,826,2367,15,0,1,0,3,9
814,0,1.1,0,2,1,41,0.8,177,2,10,1092,1406,1944,12,0,1,1,3,8
1469,1,0.5,1,3,0,58,0.5,150,7,8,1699,1850,1571,2,0,1,1,1,8
1269,0,1.3,1,14,1,52,0.8,118,2,15,1597,1920,665,5,1,1,1,3,5
918,1,0.9,0,1,1,8,0.1,123,7,5,653,671,1652,14,0,0,1,3,2
1043,0,0.5,1,7,1,42,0.1,111,3,8,716,1626,912,6,1,0,1,0,6
1494,1,1.9,1,2,0,47,0.4,129,2,9,207,1177,3202,14,0,1,1,2,1
1290,0,1.4,0,19,0,35,0.3,110,4,20,405,742,879,8,0,1,1,0,11
1265,1,1.5,1,7,1,49,0.7,182,5,16,690,836,1362,12,1,1,0,3,11
1551,1,1.1,1,4,1,51,0.1,88,5,6,1738,1995,3844,4,1,0,1,2,7
600,1,0.5,1,0,1,14,0.8,112,5,2,320,747,1655,9,1,1,1,0,11
1957,1,1.2,0,18,0,36,0.8,151,2,19,1194,1727,1115,18,0,1,0,3,3
899,1,0.5,0,13,0,57,0.9,172,2,18,788,1331,364,7,0,0,1,0,3
1328,0,0.5,1,5,0,27,0.3,144,3,18,602,1156,2674,5,0,1,0,1,8
564,1,1.8,0,0,0,51,0.5,168,3,1,912,1980,1074,15,0,0,1,0,2
1367,1,2.9,1,4,1,56,0.8,176,2,6,36,642,299,10,1,0,1,0,2
1928,0,1.8,1,9,0,19,1,187,3,20,691,1580,3777,13,0,0,0,2,11
1902,1,2.8,0,6,1,50,0.8,124,8,9,1142,1393,343,18,1,0,1,0,0
1179,0,0.8,1,1,1,5,0.9,154,5,17,913,1429,543,18,1,1,0,0,10
1067,0,1.7,0,0,1,58,0.5,135,7,0,79,681,706,16,1,0,1,0,8
1936,1,2.1,0,10,0,46,0.6,104,3,20,667,1036,2552,13,0,1,1,1,3
1119,1,0.5,0,0,0,23,0.4,164,4,1,821,915,3520,7,0,1,1,2,10
1154,1,1.2,0,0,0,49,0.2,181,8,2,541,1499,978,7,0,1,0,0,6
930,1,2.1,0,0,1,54,0.9,80,1,13,1569,1763,1743,9,1,0,1,1,7
1727,0,2.1,0,10,1,57,0.3,158,6,18,376,1288,512,6,1,1,1,0,7
510,1,1.7,0,3,1,35,0.8,120,3,6,382,1228,2509,11,1,0,0,3,1
1646,1,2.5,1,3,0,25,0.6,200,2,5,211,1608,686,11,0,0,1,0,5
1358,0,0.5,1,11,0,36,0.3,155,4,14,1565,1858,3068,4,0,0,1,2,8
1464,0,0.5,0,11,1,12,0.9,117,2,14,854,1168,3927,15,1,0,0,2,10
1569,1,0.5,0,3,1,33,0.2,147,1,13,519,930,3538,15,0,1,0,2,1
1266,1,1.9,0,0,0,7,0.2,184,3,12,346,1468,2532,4,0,0,0,1,8
856,0,1.1,0,14,0,19,0.7,125,6,19,1057,1931,650,10,0,1,0,0,1
1066,1,3,0,6,0,5,0.5,167,5,7,53,1504,1044,11,0,1,1,0,0
1133,1,1.4,1,3,1,42,0.1,199,5,12,730,1543,1457,20,0,1,0,3,10
1211,0,1.2,1,0,1,28,0.3,130,2,3,58,963,2750,14,1,0,1,1,1
657,0,1.9,0,2,1,21,0.1,110,8,8,705,1905,783,11,0,0,1,0,6
565,1,0.6,0,1,1,50,0.1,158,2,8,543,703,2156,6,0,0,0,3,11
1265,1,0.6,0,4,0,49,0.5,90,1,5,275,687,1518,8,0,1,0,3,8
1538,0,2.3,1,6,0,13,0.2,121,7,7,567,986,1494,12,0,0,0,3,3
1142,0,1.1,1,0,0,6,0.5,198,4,0,739,1766,1273,6,0,1,1,3,9
1541,0,2.8,0,10,0,28,0.2,165,5,15,796,1052,1108,7,0,1,0,3,6
1341,0,2.1,0,0,1,36,0.4,107,8,1,473,574,2200,15,1,0,1,3,10
1930,0,2,1,11,1,16,0.8,186,8,12,1901,1920,1783,13,1,1,0,1,0
1358,1,1.7,1,0,1,60,0.6,147,3,1,889,1635,440,13,0,1,1,0,9
1949,0,1.4,1,7,1,57,0.3,145,7,11,951,1178,356,19,1,1,1,0,3
1416,0,1.8,0,0,1,20,0.1,93,4,0,1175,1578,3872,7,1,1,0,2,3
1174,1,0.7,0,1,0,25,0.8,91,2,8,1097,1461,285,3,0,1,0,0,6
1699,0,0.5,1,16,1,21,0.1,156,4,20,105,1099,1181,18,0,0,1,3,5
739,0,2.3,0,2,0,58,0.1,88,3,4,1052,1536,475,6,0,1,0,0,10
1317,1,1.8,0,2,1,43,0.5,113,5,3,179,613,3436,5,1,0,0,2,6
1652,0,1.1,0,1,1,36,0.7,89,4,5,313,1264,2338,20,1,1,1,1,4
618,1,2.1,1,2,1,6,0.3,86,1,4,1314,1688,1051,15,1,1,0,0,3
921,0,2.2,0,12,0,10,0.1,170,7,18,1272,1469,3153,11,0,0,1,2,8
1664,0,2.9,0,9,0,15,0.5,177,7,19,1178,1929,1968,9,0,1,1,1,6
991,1,2,1,2,0,12,0.3,158,5,6,1209,1678,2014,10,0,1,1,1,8
832,0,0.5,1,5,0,22,0.6,198,1,8,343,1431,1666,20,0,0,0,3,8
1745,1,1.5,0,4,0,57,0.1,159,3,16,1164,1908,2885,5,0,0,0,2,10
1083,0,1.4,0,2,0,49,0.8,156,5,9,295,503,1338,5,0,0,0,0,0
1745,1,2.9,1,0,0,3,0.9,105,3,0,426,1629,1308,2,0,0,1,3,9
1043,1,2.7,1,3,1,29,0.2,83,8,17,887,893,1183,8,0,1,1,0,6
1541,0,1.5,0,6,0,5,0.5,109,4,10,536,1656,1795,4,0,0,0,3,4
1748,0,0.5,0,11,0,53,0.5,114,4,20,718,1109,2633,9,0,1,1,1,7
1027,0,2.2,1,0,1,63,0.8,102,5,4,152,714,1732,13,1,0,0,3,10
1659,1,2.8,1,5,1,16,0.6,89,1,20,819,902,3255,9,1,1,0,2,7
834,1,0.5,1,2,0,27,0.2,123,1,16,1421,1463,1591,20,0,0,1,3,8
1841,0,1.3,0,6,1,14,0.6,167,8,8,593,672,2304,18,1,1,0,1,8
727,0,1.5,1,0,0,32,1,131,7,1,813,1377,1891,7,0,1,0,3,1
1003,0,2.9,1,16,0,16,0.6,119,8,19,190,1905,1798,10,0,1,1,3,6
1702,0,2.3,0,12,0,47,0.6,107,2,19,1284,1643,595,19,0,1,0,3,6
1537,1,2.9,1,11,0,46,0.8,158,4,17,686,1305,2857,2,0,0,0,2,10
1375,1,0.5,0,2,0,35,0.1,194,2,3,227,772,1947,15,0,0,0,3,6
622,0,1.9,0,12,1,11,0.8,193,8,14,760,1964,3183,4,0,0,0,1,2
1635,1,2.6,0,0,0,2,0.6,182,4,0,1209,1411,2315,2,0,0,1,1,4
864,1,2.5,1,10,0,24,0.7,148,4,15,1362,1378,3964,12,0,0,1,2,5
1595,0,2.6,1,7,1,12,0.3,121,8,19,344,655,3608,16,1,0,1,2,1
1479,1,0.5,1,8,1,19,0.6,156,3,10,180,1476,3323,6,0,1,0,2,11
1727,1,2.1,1,2,0,63,0.6,85,7,8,1463,1992,2457,7,0,1,0,2,8
1250,0,1.4,1,8,1,44,0.2,182,7,20,703,1011,1882,14,1,1,1,3,2
1793,1,1.8,0,10,1,12,0.5,169,6,17,1086,1418,3533,15,0,0,0,2,5
1103,1,1,0,6,1,29,0.7,111,6,8,990,1486,1837,16,1,0,0,3,1
1509,1,0.6,0,5,1,50,0.3,81,4,8,1010,1684,1540,3,0,0,1,3,11
1596,1,2.9,0,7,1,7,0.7,149,2,9,169,1190,2493,13,0,0,0,1,4
603,0,0.7,0,0,0,64,0.2,156,6,0,1842,1968,604,8,0,0,0,0,7
1417,0,0.5,1,10,0,45,0.9,166,4,19,364,1029,2129,12,0,1,0,3,2
691,0,2.7,0,4,0,33,0.9,108,4,8,951,962,424,15,0,0,0,0,9
1848,0,1.4,0,2,0,42,0.7,179,2,10,154,605,3902,3,0,1,0,2,6
1713,0,2,1,9,0,5,0.7,199,6,16,108,1963,1513,2,0,1,0,3,8
1948,1,2.8,0,8,1,16,0.1,100,5,10,631,1940,3630,17,1,0,1,2,0
1514,1,2.9,1,0,1,27,0.2,118,3,1,186,1810,1152,20,1,0,0,3,7
511,1,0.7,0,1,0,52,0.7,180,2,10,24,759,3865,7,0,1,0,1,4
1349,0,2.1,0,3,1,46,0.9,134,6,12,212,623,2367,10,0,1,0,3,6
1642,0,1.6,0,0,1,5,0.4,102,5,2,1686,1889,1333,2,1,1,0,1,7
1547,0,3,0,2,0,14,0.7,198,3,19,1042,1832,2059,15,0,1,0,1,6
721,0,1.3,0,10,1,16,0.9,125,1,18,408,1862,1713,4,1,0,0,3,4
1975,0,1.5,1,6,0,16,0.9,128,8,11,80,655,2998,13,0,0,1,1,7
1270,0,2.3,1,0,1,58,0.5,104,5,1,1512,1716,3299,16,1,1,0,2,10
612,0,1.9,0,6,1,16,0.3,102,7,7,1360,1891,3161,3,1,1,1,2,8
1893,0,2.1,0,8,1,63,0.2,134,2,11,637,763,3822,18,1,0,0,2,6
1355,1,2.3,1,10,0,23,0.2,132,5,16,651,891,880,8,0,0,1,0,0
1108,0,1.3,0,14,0,2,0.3,169,7,20,208,1742,1229,4,0,0,1,0,0
1938,0,0.5,0,5,1,44,0.5,121,2,9,1299,1935,3497,18,1,0,1,2,6
1253,1,0.7,1,0,0,34,0.9,113,4,10,161,647,3518,8,0,0,0,2,5
1237,1,0.5,1,2,1,27,0.1,87,8,5,274,603,2454,8,0,0,0,1,11
804,0,0.8,0,12,0,41,0.9,89,1,13,709,818,2027,11,0,1,1,3,6
1680,0,1.2,0,6,0,37,0.7,168,4,7,679,1231,1459,2,0,0,1,3,10
1262,1,1.8,0,12,1,34,0.1,149,5,16,223,737,3248,4,1,0,0,1,4
1063,1,2,1,0,1,27,0.2,86,6,7,201,582,2668,19,1,1,1,1,4
930,0,1,0,4,0,4,0.9,144,8,10,1017,1289,2016,16,0,0,0,3,7
969,1,1.8,0,2,0,44,0.6,158,3,7,167,909,641,8,0,1,0,0,8
915,1,1.1,1,6,1,56,0.6,187,8,17,532,1448,905,12,1,0,1,0,8
999,0,1.8,0,0,0,27,0.1,167,4,1,20,745,1344,5,0,1,1,0,4
1362,0,2.9,1,0,1,47,0.5,186,6,4,600,1042,3629,5,1,0,0,2,3
1264,1,2.9,0,2,0,34,0.2,171,3,3,562,849,419,3,0,0,0,0,2
1748,1,1.7,0,6,0,14,0.5,146,3,7,859,1234,3968,3,0,1,0,2,2
1657,0,2.4,1,3,1,42,0.1,198,5,16,1770,1796,2597,14,0,1,1,2,5
1900,0,2,0,1,1,41,0.5,190,8,6,912,1596,850,4,0,0,0,3,8
1563,1,2.4,1,0,0,24,0.2,170,8,0,142,1699,3660,5,0,0,1,2,9
648,0,1.8,1,1,0,60,0.1,195,4,4,931,1811,819,4,0,1,1,0,8
880,1,2,0,1,0,50,0.5,194,7,3,1116,1381,827,6,0,1,0,0,10
1751,1,2.5,1,1,1,4,0.6,146,8,9,1499,1952,1155,12,1,0,0,3,11
1234,1,1.7,0,8,1,17,0.9,174,6,15,209,725,3351,19,1,1,0,1,3
730,1,1.5,1,9,1,9,0.7,122,4,15,1371,1677,2787,7,0,1,0,1,3
1076,1,2.5,1,3,1,14,0.2,105,5,4,545,1300,2043,14,1,1,1,3,6
1703,0,1.5,0,17,0,55,0.7,138,5,19,1411,1711,2993,20,0,0,0,2,9
1220,0,2.8,1,1,1,54,0.7,109,7,20,383,1249,1037,15,0,1,1,0,10
1236,0,2.8,1,6,0,32,0.3,143,4,18,492,1403,942,14,0,0,0,0,8
1073,0,0.5,0,0,1,51,0.5,145,7,0,690,804,2908,18,1,0,1,1,11
508,1,1.6,0,0,1,9,0.4,162,6,2,1419,1920,2616,10,0,0,0,1,11
1171,0,1.7,0,2,1,19,0.3,167,7,19,248,755,263,8,1,1,1,0,8
1648,1,0.7,1,6,0,64,0.8,170,4,9,1153,1876,610,6,0,0,1,3,11
712,1,2.5,0,1,1,49,0.6,99,6,3,1131,1743,401,10,0,1,0,0,4
1880,0,1.8,1,4,0,18,0.7,138,3,5,71,699,3333,7,0,1,1,2,2
1494,1,2.4,1,6,0,3,0.9,93,7,17,944,1003,1208,17,0,0,1,3,9
1166,1,1.5,0,0,0,43,0.8,80,4,1,205,603,3993,7,0,0,1,2,4
633,0,1.4,1,0,0,46,0.7,102,6,10,709,1915,1401,11,0,0,1,3,2
881,1,1,1,1,1,64,0.5,160,3,6,115,636,2110,6,0,0,0,3,2
1161,1,1.3,0,0,0,21,0.6,126,8,12,308,1169,3336,14,0,1,0,2,3
1678,0,2.3,0,11,1,7,0.5,192,1,14,418,1763,574,19,0,1,1,0,2
1578,1,1.9,0,2,0,37,0.1,138,4,19,411,1226,2458,3,0,1,0,1,2
1135,0,2.8,0,9,1,43,0.4,158,1,11,690,1589,3204,6,0,1,1,2,2
1412,1,0.6,1,9,1,57,0.2,86,3,10,2,660,1853,18,1,1,0,3,0
1382,0,0.5,1,7,0,13,0.3,199,2,18,612,719,2073,9,0,1,0,3,10
1261,1,0.5,1,3,0,52,0.3,86,2,9,605,1429,1365,16,0,1,0,3,7
1802,0,1.2,0,8,1,27,0.5,116,5,16,453,963,1885,7,0,0,1,1,3
1020,1,1.5,1,13,0,7,0.7,96,3,18,870,1613,1142,8,0,1,0,3,5
1045,0,1.2,0,3,0,40,0.1,175,6,7,1078,1564,2137,12,0,1,0,1,7
1097,1,1.4,1,0,1,60,0.8,181,1,17,405,519,509,12,0,1,1,0,11
1249,0,0.5,1,3,0,55,0.8,140,3,8,605,1193,531,13,0,0,0,0,7
972,0,1.7,1,0,0,54,0.7,107,3,4,681,1050,1900,19,0,1,0,3,0
635,0,0.5,1,9,1,16,1,110,7,17,599,1299,2452,8,0,1,1,1,3
1334,0,2.4,1,5,0,42,0.6,115,5,14,1187,1974,2542,8,0,1,1,2,0
569,0,2.5,0,0,1,41,0.3,124,1,1,388,605,2651,4,1,1,1,3,11
1138,1,1.1,1,5,0,48,0.6,109,3,14,233,1777,2048,18,0,0,0,1,0
777,0,2.6,1,3,1,30,0.9,148,5,17,189,1143,3886,7,0,1,1,2,0
1095,0,2.6,0,0,0,44,0.7,103,4,5,838,1066,3209,8,0,0,0,2,1
1206,1,3,0,10,0,30,0.6,127,3,13,1581,1713,1825,4,0,1,0,1,11
911,0,2.2,0,1,0,28,0.5,182,2,2,157,763,2638,13,0,0,0,3,6
1242,1,1.1,0,0,1,10,0.6,165,2,1,459,1225,1050,4,0,1,0,0,0
1404,1,2.1,1,16,1,44,0.9,151,1,20,1703,1880,1196,5,1,1,0,3,7
1349,1,2,0,15,1,62,0.3,114,5,16,592,772,2756,4,0,1,1,1,2
1567,1,2.1,0,3,1,22,0.8,153,3,19,190,1326,3991,10,0,1,1,2,0
1735,0,1.9,0,0,0,59,0.7,148,6,0,137,846,3230,9,0,0,1,2,9
513,0,0.5,1,6,0,44,0.1,186,4,12,619,867,1343,9,0,0,1,0,0
554,0,1.3,1,0,1,12,0.1,105,6,10,85,806,3764,4,1,0,0,1,3
1490,0,0.5,0,4,0,64,0.3,150,8,8,1417,1464,3600,7,0,0,0,2,3
1880,1,0.5,1,0,0,7,0.6,104,4,1,890,1019,2968,3,0,0,1,2,5
598,0,0.8,0,8,0,62,0.1,117,8,9,118,764,3066,19,0,0,1,1,9
1175,0,1.3,1,2,1,19,0.3,164,7,9,873,1394,1944,9,0,0,1,3,1
1868,1,2,0,0,0,42,0.2,169,1,4,347,660,3131,7,0,0,0,2,5
1836,1,1.1,0,0,1,14,0.7,104,5,1,168,1068,2469,7,0,0,0,1,3
544,0,0.5,0,2,0,7,0.2,129,5,15,227,610,1675,17,0,0,1,0,10
1201,0,0.5,1,1,0,10,0.4,198,6,5,1151,1723,726,3,0,0,1,0,0
1924,1,0.5,1,3,0,63,0.3,111,2,10,122,686,3423,19,0,1,1,2,1
665,0,0.7,1,0,0,31,0.1,185,5,2,496,1804,690,15,0,1,1,0,3
1224,1,0.5,1,16,0,6,0.4,109,6,18,747,826,506,11,0,0,0,0,3
1595,1,1.9,0,1,1,63,0.9,88,1,20,1475,1988,908,6,1,1,0,3,4
1429,1,1.5,0,0,0,40,0.9,100,3,14,246,820,3945,18,0,1,0,2,8
1470,1,2.2,0,4,0,33,0.4,138,7,10,1790,1988,1633,4,0,1,1,1,11
1523,0,2.4,1,5,0,57,0.2,117,2,6,247,539,3971,10,0,0,0,2,3
1862,1,1.5,1,1,1,62,1,182,1,2,386,1046,1017,9,0,1,1,3,4
550,0,0.5,1,16,0,23,0.1,145,2,17,486,1930,302,8,0,1,1,0,0
1403,1,2.7,1,2,0,26,0.1,164,5,3,461,1251,3371,9,0,1,0,2,3
1066,1,1.6,1,5,1,39,0.6,131,5,17,401,1586,2728,17,0,0,0,1,3
1608,1,1.8,0,7,1,28,0.4,183,2,13,1013,1158,489,8,1,1,0,0,4
1977,1,1.3,0,2,1,31,0.4,173,8,6,1145,1356,2641,7,1,1,1,2,2
875,0,0.7,0,1,1,30,0.7,146,8,8,469,853,702,15,0,0,0,0,2
1018,0,0.7,0,7,1,63,0.1,155,5,18,856,883,3048,2,1,1,0,1,0
672,0,0.5,0,0,1,54,0.9,95,4,11,578,1143,667,14,1,1,1,0,3
1375,0,1.1,1,3,0,9,0.9,145,7,19,475,726,3869,10,0,0,0,2,4
1476,1,0.5,1,0,0,43,0.7,148,2,2,1789,1972,3644,6,0,1,0,2,8
1162,1,2,1,0,0,56,0.7,114,7,1,56,997,1652,20,0,1,1,3,5
1454,0,1.6,1,6,0,21,0.2,160,4,10,186,1100,719,10,0,0,0,0,1
1420,1,2.8,0,1,1,50,0.1,100,8,8,194,1393,763,17,1,0,0,0,0
1660,1,0.5,1,2,0,15,0.7,100,8,8,440,569,2424,9,0,0,1,1,4
1576,1,2.6,1,7,1,58,0.2,90,3,16,400,631,336,13,0,0,0,0,11
1366,0,1.7,0,5,0,53,0.2,161,5,9,647,1876,3869,14,0,1,0,2,5
659,1,2.2,1,0,0,24,0.7,151,8,2,924,1877,3925,10,0,0,0,2,11
1992,0,0.6,0,11,1,2,0.1,141,1,14,649,895,3206,10,0,0,1,2,0
599,0,2.9,1,0,0,64,0.3,186,8,1,103,646,3396,7,0,1,1,1,10
1671,1,0.6,0,7,0,61,0.1,129,2,11,263,848,2336,7,0,1,1,1,5
1568,0,0.5,1,16,1,33,1,150,8,20,413,654,508,6,0,0,0,0,6
1110,1,1.5,1,2,0,12,0.3,153,8,5,961,1950,624,15,0,1,1,0,5
793,0,2.8,0,1,0,64,0.4,179,4,2,818,1006,2296,5,0,0,1,3,9
1583,1,1.2,0,0,1,14,0.2,148,2,4,1171,1673,2498,8,1,1,0,1,5
946,1,2.1,1,0,0,19,0.2,154,8,0,159,630,2104,16,0,0,1,3,10
1627,1,0.9,0,9,0,32,0.1,180,6,16,52,1082,3206,16,0,0,1,2,2
730,0,1.3,0,6,1,6,0.9,167,7,10,1096,1155,2812,17,1,1,1,1,7
